video_id,title,publishedAt,channelId,category,channelTitle,categoryId,trending_date,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,publish_date,publish_time,publish_hour,days_before_trend,views_per_day
4f9jIdg4rTQ,"The Body | Official Trailer | Rishi Kapoor, Emraan Hashmi, Sobhita Dhulipala, Vedhika | 13th Dec",2019-11-15T07:40:44.000Z,UCs56ffejFhWlCvlvRIdpb9Q,Entertainment,Viacom18 Studios,24,2019-11-17,Movies|Bollywood|Rishi Kapoor|Emraan Hashmi|Sobhita Dhulipala|Vedhika|Viacom 18 Studios|The Body|The Body Movie|Jeethu Joseph|Azure Entertainment|Thriller|Suspense|Crime|Films|Emraan|Rishi|Sobhita|Body|Trailer|Movie Trailer,4841081,142875,5687,8269,https://i.ytimg.com/vi/4f9jIdg4rTQ/default.jpg,False,False,2019-11-15,07:40:44,7,2,2420540.5
QUq5jJFAw0I,Life With Sibling | Harsh Beniwal,2019-11-15T13:30:02.000Z,UCVmEbEQUGXHVm-O9pqa3JWg,Comedy,Harsh Beniwal,23,2019-11-17,harsh|harsh beniwal|beniwal|harsh beniwal video|harsh beniwal vine|harshbeniwal|bhai behn ka pyar|harsh beniwal bhai behn|harsh beniwal bhai bhai|bhai bhai ka pyar|harsh beniwal brother sister|brother sister video|harsh beniwal siblings video|harsh beniwal sibling|life with Siblings|life|with|siblings|bhai behn|bollywood|harsh beniwal latest video|harsh beniwal comedy video|harsh beniwal popular video,2771682,357221,5124,17634,https://i.ytimg.com/vi/QUq5jJFAw0I/default.jpg,False,False,2019-11-15,13:30:02,13,2,1385841.0
ipeWQ67AziU,THAMBI OFFICIAL TAMIL TEASER | KARTHI | JYOTIKA | SATHYARAJ | JEETHU JOSEPH,2019-11-16T05:30:13.000Z,UCnSqxrSfo1sK4WZ7nBpYW1Q,Music,Lahari Music | T-Series,10,2019-11-17,thambi teaser|karthi|jyotika|new tamil movies|thambi tamil movie teaser|thambi movie teaser|thambi songs|thambi latest tamil movie teaser|sathyaraj|anson paul|thambi karthi|jyothika movie updates|thambi trailer|thambi new tamil movie teaser|new tamil trailers 2019|tamil trailer 2019 new|latest tamil movie trailers 2019|thambi official teaser|tamil movie|SATHYARAJ|Jeethu Joseph,2711391,124427,3845,2824,https://i.ytimg.com/vi/ipeWQ67AziU/default.jpg,False,False,2019-11-16,05:30:13,5,1,2711391.0
dKeRIOA28Jk,Mardaani 2 | Official Trailer | Rani Mukerji | Releasing 13 December 2019,2019-11-14T05:30:11.000Z,UCbTLwN10NoCU4WDzLf1JMOA,Film & Animation,YRF,1,2019-11-17,Rani Mukerji|Rani Mukerjee|Mardaani 2 Trailer|Rani Mukerji Mardaani 2|Rani Mukerji Movie Trailer|Rani Mukerjee Trailer|Mardaani 2 Teaser Trailer|Mardani 2 Trailer|Rani Mukerji New Movies|New Movie Trailer|Rani Mukerji New Movie Trailer|New Trailer|Rani Mukerji Movie 2019|2019 Rani Mukerji Movie|Rani Mukerji Song|Mardaani 2 Movie|Rani Mukerji Movie Dialogue|Rani Mukerji New Trailer|Mardaani Rani Mukerji Movie|रानी मुकर्जी मूवी,5923189,226877,6331,12317,https://i.ytimg.com/vi/dKeRIOA28Jk/default.jpg,False,False,2019-11-14,05:30:11,5,3,1974396.3333333333
eN6AYHAT8UM,"Yaad Piya Ki Aane Lagi | Divya Khosla Kumar |Neha K,Tanishk B,Jaani, Faisu, Radhika&Vinay |Bhushan K",2019-11-16T12:15:57.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Music,T-Series,10,2019-11-17,yaad piya ki aaye|bole jo koyal bago mein yaad piya ki aane lagi|bole jo koyal|yaad piya ki aane lagi divya khosla kumar|chudi jo khankhee|divya khosla kumar|neha kakkar|jaani|neha kakkar new song|jaani new song|divya khosla kumar kiss|divya khosla kumar dance|yaad piya ki aane lagi|yaad piya ki aane lagi bheegi bheegi raaton mein,10255715,318196,52405,21257,https://i.ytimg.com/vi/eN6AYHAT8UM/default.jpg,False,False,2019-11-16,12:15:57,12,1,10255715.0
KgTgVd1yhHs,"The Kapil Sharma Show - Movie Bala Episode Uncensored | Ayushmann Khurrana, Bhumi, Yami",2019-11-15T13:01:20.000Z,UC1-BQ2oxqBVtCjMHF-Wf98w,Entertainment,Kapil Sharma,24,2019-11-17,K9 Films|Comedian|celebrity|famous personality|film productions|film industry|very famous|Comedy nights with Kapil|The Kapil Sharma Show|kapil sharma|kapil sharma movie|kapil sharma k9|kapil sharma news|kapil sharma show|kapil|kapil sharma comedy|kapil sharma new show|kapil sharma new show 2018|kapil sharma show full episodes|kapil sharma show 2019|kapil sharma show live|ayushmann khurrana|ayushmann khurrana movies|bala full movie|bala trailer,3132558,51619,3669,1611,https://i.ytimg.com/vi/KgTgVd1yhHs/default.jpg,False,False,2019-11-15,13:01:20,13,2,1566279.0
td_lFJ_Gh6Q,"Ashiqui Mein Teri 2.0 Teaser - Happy Hardy And Heer | Himesh Reshammiya, Ranu Mondal | Song Out Now",2019-11-13T08:30:31.000Z,UCJrDMFOdv1I2k8n9oK_V21w,Music,Tips Official,10,2019-11-17,Teri Meri Kahani|teri meri kahani full song|teri meri kahani ranu mondal|himesh reshammiya and ranu mondal|himesh reshammiya teri meri kahani|himesh reshammiya new song|tips music|tips official|rani mondal song|rani mondal viral song|teri meri kahani cover song|2019 new song|latest hindi song 2019|hd video|aashiqui mein teri|himesh reshammiya live performance|himesh reshammiya concert|Aashiqui Mein Teri 2.0-|Aashiqui Mein Teri remix|Aashiqui Mein Teri new,3684998,64398,26867,3682,https://i.ytimg.com/vi/td_lFJ_Gh6Q/default.jpg,False,False,2019-11-13,08:30:31,8,4,921249.5
pXz-IHcY-fw,"Bigil - Moviebuff Sneak Peek 03 | Vijay, Nayanthara - Directed by Atlee Kumar | AR Rahman",2019-11-16T05:00:12.000Z,UCmAyYoNuOheCdlHnsBsRu3w,Entertainment,Moviebuff Tamil,24,2019-11-17,Moviebuff|Moviebuff Sneak Peek|MBSneakPeek|Tamil Movie|Tamil Movie Trailer|Tamil Movie Teaser|New Tamil Movie 2019|making video|promo|teaser|Vijay|Nayanthara|Anandaraj Selvaraj|Yogi Babu|Atlee Kumar|bigil songs|bigil official trailer,2359551,118459,3833,2577,https://i.ytimg.com/vi/pXz-IHcY-fw/default.jpg,False,False,2019-11-16,05:00:12,5,1,2359551.0
z_WT4aXhD0w,Tumse Milke Dilka Jo Haal | Main Hoon Na | Cute Love Story | TikTok  Famous Song,2019-11-16T02:30:14.000Z,UC4DLvb5xZ9OLcVM1KC_R97g,Music,unknown boy varun,10,2019-11-17,[none],780311,30018,1716,956,https://i.ytimg.com/vi/z_WT4aXhD0w/default.jpg,False,False,2019-11-16,02:30:14,2,1,780311.0
c48Uu1BV8P0,"Extra Jabardasth| 15th November 2019  | Full Episode | Sudheer, Chandra, Bhaskar| ETV Telugu",2019-11-15T17:50:24.000Z,UCnoqvTW4YZExfDeq7_Wmd-w,Comedy,ETV Jabardasth,23,2019-11-17,etv shows|eenadu television|padutha theeyaga|super2|dhee Jodi|jabardasth|extra jabardsth|etv20|etv comedy show|extra jabardasth|naga babu|roja|anchor anasuya|rashmi|dhanraj|chandra|venu|chanti|dhana dhan dhanraj|comedy short films|chamak chandra|chalaki chanti|raghava|rocket raghava|roller raghu|venu wonders|comedy skits in telugu|telugu comedy tracks|allari harish|yedukondalu|racha ravi,1806607,11358,1825,0,https://i.ytimg.com/vi/c48Uu1BV8P0/default.jpg,True,False,2019-11-15,17:50:24,17,2,903303.5
